amount,date_written,date_cleared,days_to_clear,check_type,payee_name,bank_name,bank_routing,check_number,micr_line,is_returned,return_reason,is_fraud,fraud_type
4299.42,2024-12-20T19:00:00.000000,2024-06-24T06:00:00.000000,4,personal,Acme Supplies,Trust Bank,021000021,9381,|021000021|  836300957  9573,false,,false,
1483.57,2024-06-25T14:00:00.000000,2024-12-27T23:00:00.000000,4,cashier,Landlord LLC,First National Bank,021000021,2311,|021000021|  384859676  5844,false,,false,
764.06,2024-06-27T11:00:00.000000,2024-11-21T04:00:00.000000,5,business,Landlord LLC,Trust Bank,021000021,1890,|021000021|  789345666  4556,false,,false,
633.07,2024-02-11T07:00:00.000000,2024-07-26T11:00:00.000000,2,business,John Smith,First National Bank,021000021,9257,|021000021|  191720218  9314,false,,false,
1576.99,2024-02-22T07:00:00.000000,2024-01-28T04:00:00.000000,3,personal,Acme Supplies,City Bank,021000021,7191,|021000021|  116350625  3782,false,,false,
4089.83,2024-08-28T06:00:00.000000,2024-01-08T02:00:00.000000,4,business,John Smith,Trust Bank,021000021,3232,|021000021|  379568704  4869,false,,false,
944.6,2024-06-21T06:00:00.000000,2024-11-16T23:00:00.000000,1,personal,Landlord LLC,City Bank,021000021,1424,|021000021|  898733637  4323,false,,false,
2928.92,2024-09-04T19:00:00.000000,2024-05-10T13:00:00.000000,5,cashier,John Smith,City Bank,021000021,2088,|021000021|  270925001  6356,false,,false,
3212.62,2024-11-08T00:00:00.000000,2024-03-24T01:00:00.000000,2,business,Landlord LLC,City Bank,021000021,2796,|021000021|  306090757  7369,false,,false,
1893.37,2024-09-02T20:00:00.000000,2024-02-13T21:00:00.000000,2,cashier,Acme Supplies,Trust Bank,021000021,4174,|021000021|  452781877  4919,false,,false,
2761.34,2024-06-25T20:00:00.000000,2024-07-14T16:00:00.000000,4,business,Acme Supplies,City Bank,021000021,3157,|021000021|  507430190  9788,false,,false,
360.81,2024-02-13T21:00:00.000000,2024-12-09T09:00:00.000000,4,business,Acme Supplies,City Bank,021000021,9059,|021000021|  604114208  8736,false,,false,
345.03,2024-03-02T12:00:00.000000,2024-11-02T07:00:00.000000,3,cashier,Acme Supplies,First National Bank,021000021,5717,|021000021|  669747044  1105,false,,false,
1069.5,2024-12-30T06:00:00.000000,2024-12-20T09:00:00.000000,3,business,John Smith,City Bank,021000021,3706,|021000021|  128472165  8164,false,,false,
3417.98,2024-09-01T05:00:00.000000,2024-01-24T14:00:00.000000,3,personal,Landlord LLC,Trust Bank,021000021,4623,|021000021|  878058375  4832,false,,false,
2166.58,2024-08-10T20:00:00.000000,2024-04-04T05:00:00.000000,3,personal,John Smith,Trust Bank,021000021,2074,|021000021|  712398422  6043,false,,false,
1605.03,2024-06-19T02:00:00.000000,2024-05-17T14:00:00.000000,3,business,Landlord LLC,City Bank,021000021,6750,|021000021|  947399622  4473,false,,false,
2948.53,2024-07-21T14:00:00.000000,2024-01-02T08:00:00.000000,4,cashier,Acme Supplies,City Bank,021000021,5133,|021000021|  520437628  2275,false,,false,
2293.26,2024-07-24T23:00:00.000000,2024-07-05T10:00:00.000000,2,cashier,Landlord LLC,City Bank,021000021,3602,|021000021|  706883788  3811,false,,false,
1533.85,2024-02-13T23:00:00.000000,2024-10-07T10:00:00.000000,3,personal,Landlord LLC,First National Bank,021000021,6306,|021000021|  255257615  1540,false,,false,
3982.18,2024-03-22T05:00:00.000000,2024-05-05T01:00:00.000000,4,personal,Acme Supplies,City Bank,021000021,5506,|021000021|  128886392  2834,false,,false,
3510.02,2024-03-06T00:00:00.000000,2024-06-07T06:00:00.000000,5,business,Landlord LLC,Trust Bank,021000021,8478,|021000021|  214545039  3652,false,,false,
1258.28,2024-03-18T18:00:00.000000,2024-07-01T05:00:00.000000,4,personal,John Smith,First National Bank,021000021,3353,|021000021|  470294553  3324,false,,false,
2893.4,2024-08-26T20:00:00.000000,2024-01-01T10:00:00.000000,1,business,Landlord LLC,City Bank,021000021,5165,|021000021|  852413648  1471,false,,false,
2649.72,2024-03-15T19:00:00.000000,2024-07-14T02:00:00.000000,2,personal,Acme Supplies,Trust Bank,021000021,9229,|021000021|  133146266  1683,false,,false,
4381.93,2024-11-01T15:00:00.000000,2024-08-31T08:00:00.000000,2,personal,John Smith,City Bank,021000021,8867,|021000021|  248608219  1699,false,,false,
3660.75,2024-12-02T11:00:00.000000,2024-09-14T20:00:00.000000,1,business,John Smith,First National Bank,021000021,4414,|021000021|  848406346  2112,false,,false,
1475.29,2024-03-20T17:00:00.000000,2024-04-12T07:00:00.000000,2,personal,Acme Supplies,First National Bank,021000021,5307,|021000021|  891117158  1765,false,,false,
4901.87,2024-10-07T04:00:00.000000,2024-09-15T00:00:00.000000,5,business,Landlord LLC,City Bank,021000021,9291,|021000021|  170614917  6955,false,,false,
634.43,2024-01-11T00:00:00.000000,2024-02-16T08:00:00.000000,4,business,Acme Supplies,First National Bank,021000021,4890,|021000021|  314009839  9748,false,,false,
2119.71,2024-11-28T03:00:00.000000,2024-02-15T04:00:00.000000,5,personal,Landlord LLC,City Bank,021000021,6228,|021000021|  813140084  2081,false,,false,
3797.85,2024-09-26T23:00:00.000000,2024-07-23T18:00:00.000000,2,cashier,Landlord LLC,First National Bank,021000021,7100,|021000021|  911504608  7289,false,,false,
802.32,2024-03-12T13:00:00.000000,2024-01-22T12:00:00.000000,4,business,Acme Supplies,First National Bank,021000021,1604,|021000021|  215014812  5040,false,,false,
2470.37,2024-04-09T06:00:00.000000,2024-01-12T09:00:00.000000,3,cashier,John Smith,City Bank,021000021,4260,|021000021|  320893832  4329,false,,false,
244.08,2024-01-15T08:00:00.000000,2024-06-04T20:00:00.000000,4,personal,Landlord LLC,Trust Bank,021000021,3984,|021000021|  220226578  1555,false,,false,
3357.67,2024-04-18T09:00:00.000000,2024-04-29T02:00:00.000000,4,personal,Landlord LLC,City Bank,021000021,7611,|021000021|  136965519  2434,false,,false,
3834.63,2024-09-13T07:00:00.000000,2024-10-26T16:00:00.000000,2,business,Landlord LLC,City Bank,021000021,3642,|021000021|  985901714  5709,false,,false,
2886.48,2024-10-27T10:00:00.000000,2024-03-20T21:00:00.000000,5,business,Acme Supplies,First National Bank,021000021,5558,|021000021|  612298700  2637,false,,false,
4383.62,2024-05-12T17:00:00.000000,2024-11-01T12:00:00.000000,2,cashier,Acme Supplies,First National Bank,021000021,6372,|021000021|  242435866  2604,false,,false,
1603.05,2024-08-02T04:00:00.000000,2024-06-15T23:00:00.000000,2,personal,John Smith,First National Bank,021000021,7175,|021000021|  950368404  4359,false,,false,
3491.71,2024-02-01T23:00:00.000000,2024-09-10T04:00:00.000000,1,cashier,Acme Supplies,First National Bank,021000021,3765,|021000021|  416173375  6229,false,,false,
2992.13,2024-06-30T14:00:00.000000,2024-05-25T23:00:00.000000,2,personal,Landlord LLC,Trust Bank,021000021,5331,|021000021|  461331100  7943,false,,false,
2920.48,2024-12-05T18:00:00.000000,2024-11-12T20:00:00.000000,3,business,Landlord LLC,First National Bank,021000021,2886,|021000021|  380418002  1343,false,,false,
2308.22,2024-09-21T13:00:00.000000,2024-03-15T01:00:00.000000,5,personal,Landlord LLC,Trust Bank,021000021,9696,|021000021|  476776867  5206,false,,false,
4207.84,2024-09-13T04:00:00.000000,2024-09-19T20:00:00.000000,1,personal,Acme Supplies,City Bank,021000021,1796,|021000021|  403432167  1794,false,,false,
4726.17,2024-09-29T04:00:00.000000,2024-08-07T23:00:00.000000,3,personal,Acme Supplies,First National Bank,021000021,6895,|021000021|  868543794  7030,false,,false,
2396.79,2024-09-25T16:00:00.000000,2024-12-24T16:00:00.000000,2,cashier,John Smith,Trust Bank,021000021,8423,|021000021|  444486646  9254,false,,false,
3337.55,2024-01-10T14:00:00.000000,2024-03-12T16:00:00.000000,3,personal,John Smith,Trust Bank,021000021,9544,|021000021|  611189985  5713,false,,false,
350.31,2024-04-03T19:00:00.000000,2024-09-15T18:00:00.000000,3,business,Landlord LLC,City Bank,021000021,2714,|021000021|  763868645  1508,false,,false,
3522.39,2024-01-03T04:00:00.000000,2024-01-09T21:00:00.000000,5,personal,John Smith,Trust Bank,021000021,5130,|021000021|  947242276  7766,false,,false,
3253.29,2024-03-29T04:00:00.000000,2024-10-26T22:00:00.000000,2,cashier,John Smith,Trust Bank,021000021,9777,|021000021|  133552611  8151,false,,false,
4965.82,2024-08-30T19:00:00.000000,2024-12-15T22:00:00.000000,1,personal,John Smith,First National Bank,021000021,7460,|021000021|  656866524  2611,false,,false,
4118.53,2024-03-02T17:00:00.000000,2024-11-25T07:00:00.000000,4,personal,Landlord LLC,First National Bank,021000021,7087,|021000021|  472353978  8684,false,,false,
1458.75,2024-02-01T10:00:00.000000,2024-02-13T00:00:00.000000,4,business,Acme Supplies,City Bank,021000021,5338,|021000021|  856622349  1789,false,,false,
1959.67,2024-12-15T16:00:00.000000,2024-01-22T04:00:00.000000,4,business,Acme Supplies,City Bank,021000021,7157,|021000021|  677544838  4549,false,,false,
3359.83,2024-09-28T17:00:00.000000,2024-11-22T11:00:00.000000,5,cashier,Acme Supplies,First National Bank,021000021,7045,|021000021|  867070496  2490,false,,false,
161.69,2024-09-04T03:00:00.000000,2024-02-23T12:00:00.000000,2,business,John Smith,Trust Bank,021000021,3396,|021000021|  716908606  5705,false,,false,
2335.39,2024-10-13T01:00:00.000000,2024-08-19T17:00:00.000000,4,cashier,Acme Supplies,First National Bank,021000021,6903,|021000021|  282934745  8145,false,,false,
881.84,2024-05-07T06:00:00.000000,2024-01-26T20:00:00.000000,3,personal,Acme Supplies,First National Bank,021000021,6421,|021000021|  101394852  9578,true,,false,
629.62,2024-05-21T01:00:00.000000,2024-01-10T20:00:00.000000,3,personal,Acme Supplies,First National Bank,021000021,2334,|021000021|  316933609  5725,false,,false,
341.82,2024-02-20T16:00:00.000000,2024-09-29T21:00:00.000000,1,personal,John Smith,City Bank,021000021,8247,|021000021|  918385637  1885,false,,false,
3852.75,2024-08-19T17:00:00.000000,2024-05-05T15:00:00.000000,4,business,Acme Supplies,City Bank,021000021,4770,|021000021|  104683308  6699,false,,false,
690.23,2024-01-15T02:00:00.000000,2024-05-15T00:00:00.000000,3,personal,Landlord LLC,First National Bank,021000021,3896,|021000021|  627017180  2568,false,,false,
1275.69,2024-08-14T10:00:00.000000,2024-08-21T02:00:00.000000,5,personal,Acme Supplies,City Bank,021000021,1792,|021000021|  627727025  4024,false,,false,
1985.2,2024-11-09T16:00:00.000000,2024-09-14T17:00:00.000000,3,cashier,Landlord LLC,First National Bank,021000021,5856,|021000021|  631053022  6689,false,,false,
4363.54,2024-11-06T16:00:00.000000,2024-02-17T21:00:00.000000,2,cashier,Landlord LLC,First National Bank,021000021,9456,|021000021|  993176931  9441,false,,false,
448.88,2024-04-12T22:00:00.000000,2024-09-26T02:00:00.000000,5,cashier,Landlord LLC,City Bank,021000021,5156,|021000021|  379790367  3604,false,,false,
2273.48,2024-05-21T14:00:00.000000,2024-08-30T08:00:00.000000,5,business,Landlord LLC,City Bank,021000021,6081,|021000021|  404652501  4518,false,,false,
2769.73,2024-09-17T17:00:00.000000,2024-02-08T08:00:00.000000,2,personal,Landlord LLC,First National Bank,021000021,6123,|021000021|  851060018  4794,false,,false,
4422.75,2024-09-01T16:00:00.000000,2024-04-30T23:00:00.000000,1,business,Acme Supplies,Trust Bank,021000021,1030,|021000021|  635062306  3717,false,,false,
4105.44,2024-05-06T22:00:00.000000,2024-04-15T07:00:00.000000,3,cashier,John Smith,Trust Bank,021000021,1554,|021000021|  218029179  2326,false,,false,
4326.72,2024-09-24T08:00:00.000000,2024-11-28T14:00:00.000000,2,cashier,Landlord LLC,City Bank,021000021,4632,|021000021|  626446711  2714,false,,false,
1428.18,2024-10-13T06:00:00.000000,2024-09-09T12:00:00.000000,4,business,Acme Supplies,First National Bank,021000021,3448,|021000021|  774237069  6352,false,,false,
2105.72,2024-08-17T04:00:00.000000,2024-02-09T15:00:00.000000,4,business,Landlord LLC,Trust Bank,021000021,5768,|021000021|  481840913  2559,false,,false,
1825.92,2024-08-01T03:00:00.000000,2024-12-16T09:00:00.000000,4,business,Acme Supplies,Trust Bank,021000021,8082,|021000021|  530860990  7466,false,,false,
4426.75,2024-07-19T14:00:00.000000,2024-01-24T19:00:00.000000,4,business,Acme Supplies,Trust Bank,021000021,7844,|021000021|  900173563  2412,false,,false,
4790.77,2024-06-10T02:00:00.000000,2024-11-19T20:00:00.000000,3,personal,Landlord LLC,First National Bank,021000021,9400,|021000021|  553258624  1413,false,,false,
797.06,2024-12-09T07:00:00.000000,2024-04-11T02:00:00.000000,1,personal,John Smith,Trust Bank,021000021,6966,|021000021|  499378270  4378,false,,false,
922.28,2024-08-07T02:00:00.000000,2024-11-03T04:00:00.000000,2,personal,John Smith,First National Bank,021000021,1783,|021000021|  425495205  5313,false,,false,
1198.19,2024-04-18T21:00:00.000000,2024-06-18T08:00:00.000000,1,personal,Landlord LLC,Trust Bank,021000021,3164,|021000021|  559626840  9929,false,,false,
1205.01,2024-06-04T03:00:00.000000,2024-11-29T23:00:00.000000,4,business,John Smith,City Bank,021000021,9002,|021000021|  638148858  3804,false,,false,
2450.57,2024-03-20T22:00:00.000000,2024-12-20T09:00:00.000000,4,personal,Landlord LLC,Trust Bank,021000021,4724,|021000021|  507275799  4827,false,,false,
2966.16,2024-11-25T21:00:00.000000,2024-11-14T18:00:00.000000,5,business,John Smith,First National Bank,021000021,1747,|021000021|  594896208  3079,false,,false,
1350.6,2024-07-06T04:00:00.000000,2024-03-09T00:00:00.000000,4,business,Acme Supplies,City Bank,021000021,1366,|021000021|  670741655  1556,false,,false,
70.26,2024-05-09T04:00:00.000000,2024-09-03T01:00:00.000000,1,personal,Landlord LLC,First National Bank,021000021,1892,|021000021|  474183392  6353,false,,false,
2123.79,2024-08-27T07:00:00.000000,2024-09-05T08:00:00.000000,1,cashier,Landlord LLC,Trust Bank,021000021,1043,|021000021|  660205669  3545,false,,false,
1877.81,2024-02-18T12:00:00.000000,2024-12-10T03:00:00.000000,4,personal,Landlord LLC,First National Bank,021000021,6816,|021000021|  583513002  6298,false,,false,
2853.39,2024-09-06T05:00:00.000000,2024-12-20T06:00:00.000000,5,business,Acme Supplies,First National Bank,021000021,5977,|021000021|  282053503  8589,false,,false,
4767.83,2024-12-07T07:00:00.000000,2024-12-11T15:00:00.000000,4,business,Landlord LLC,City Bank,021000021,2743,|021000021|  571155795  5215,false,,false,
3467.94,2024-03-23T22:00:00.000000,2024-05-28T22:00:00.000000,4,business,Acme Supplies,Trust Bank,021000021,9571,|021000021|  721878805  4786,false,,false,
2601.68,2024-08-08T16:00:00.000000,2024-09-21T09:00:00.000000,2,business,Acme Supplies,First National Bank,021000021,6852,|021000021|  235352720  6474,false,,false,
3107.08,2024-07-25T10:00:00.000000,2024-08-25T14:00:00.000000,1,personal,Landlord LLC,City Bank,021000021,9751,|021000021|  596088021  4899,false,,false,
3397.19,2024-08-03T06:00:00.000000,2024-08-26T03:00:00.000000,2,personal,Acme Supplies,City Bank,021000021,4675,|021000021|  645142391  4139,false,,false,
317.26,2024-07-01T10:00:00.000000,2024-10-08T06:00:00.000000,2,cashier,Landlord LLC,First National Bank,021000021,7771,|021000021|  387207453  5940,false,,false,
4502.69,2024-02-17T23:00:00.000000,2024-06-08T02:00:00.000000,2,business,Landlord LLC,First National Bank,021000021,5935,|021000021|  910390521  3533,false,,false,
3910.85,2024-07-06T00:00:00.000000,2024-08-30T00:00:00.000000,5,personal,Landlord LLC,First National Bank,021000021,3191,|021000021|  876676219  3556,false,,false,
4378.84,2024-06-22T17:00:00.000000,2024-05-28T14:00:00.000000,1,business,Landlord LLC,Trust Bank,021000021,4346,|021000021|  365838109  6351,false,,false,
3999.47,2024-08-22T14:00:00.000000,2024-02-09T16:00:00.000000,4,cashier,John Smith,First National Bank,021000021,7001,|021000021|  747353685  9556,false,,false,
1992.28,2024-12-26T00:00:00.000000,2024-08-18T08:00:00.000000,1,business,John Smith,First National Bank,021000021,8781,|021000021|  474340855  3637,false,,false,
2024.95,2024-07-15T10:00:00.000000,2024-07-17T06:00:00.000000,5,personal,Landlord LLC,Trust Bank,021000021,3599,|021000021|  353631833  6376,false,,false,
562.51,2024-09-21T19:00:00.000000,2024-04-17T02:00:00.000000,1,business,Landlord LLC,Trust Bank,021000021,3208,|021000021|  303230777  5239,false,,false,
3189.73,2024-05-31T16:00:00.000000,2024-10-24T02:00:00.000000,1,business,Acme Supplies,First National Bank,021000021,1232,|021000021|  882470350  2668,false,,false,
358.13,2024-02-02T03:00:00.000000,2024-03-13T23:00:00.000000,2,cashier,John Smith,Trust Bank,021000021,4991,|021000021|  276739538  2666,false,,false,
383.37,2024-04-27T03:00:00.000000,2024-09-25T08:00:00.000000,2,business,Landlord LLC,City Bank,021000021,3447,|021000021|  309843560  7296,false,,false,
1083.38,2024-02-13T08:00:00.000000,2024-07-03T04:00:00.000000,5,personal,Acme Supplies,First National Bank,021000021,8387,|021000021|  262092165  3431,false,,false,
853.4,2024-05-19T01:00:00.000000,2024-11-04T20:00:00.000000,1,cashier,John Smith,City Bank,021000021,2570,|021000021|  953504278  5950,false,,false,
1733.27,2024-04-02T08:00:00.000000,2024-09-17T08:00:00.000000,3,business,Acme Supplies,Trust Bank,021000021,2044,|021000021|  887366929  5873,false,,false,
310.25,2024-03-07T13:00:00.000000,2024-02-27T22:00:00.000000,2,personal,John Smith,City Bank,021000021,3371,|021000021|  566995021  5487,false,,false,
51.15,2024-12-12T08:00:00.000000,2024-07-05T07:00:00.000000,3,cashier,Landlord LLC,Trust Bank,021000021,5420,|021000021|  310658411  2791,false,,false,
798.76,2024-07-26T04:00:00.000000,2024-09-11T15:00:00.000000,5,business,Landlord LLC,Trust Bank,021000021,7586,|021000021|  785026733  2751,false,,false,
552.25,2024-10-01T16:00:00.000000,2024-07-20T00:00:00.000000,4,personal,John Smith,City Bank,021000021,5330,|021000021|  401511437  4383,false,,false,
1849.87,2024-10-19T15:00:00.000000,2024-03-22T00:00:00.000000,1,business,John Smith,Trust Bank,021000021,1189,|021000021|  516978206  8601,false,,false,
176.23,2024-12-24T10:00:00.000000,2024-09-08T21:00:00.000000,1,personal,John Smith,City Bank,021000021,1920,|021000021|  136433787  1207,false,,false,
4377.95,2024-02-15T08:00:00.000000,2024-08-18T12:00:00.000000,1,business,John Smith,City Bank,021000021,6740,|021000021|  528445671  8153,false,,false,
3089.64,2024-01-30T22:00:00.000000,2024-06-03T23:00:00.000000,3,personal,Acme Supplies,Trust Bank,021000021,8271,|021000021|  844574832  4645,false,,false,
785.32,2024-04-03T13:00:00.000000,2024-03-13T13:00:00.000000,5,personal,Landlord LLC,First National Bank,021000021,9481,|021000021|  637393346  5854,false,,false,
1298.68,2024-02-07T08:00:00.000000,2024-06-25T12:00:00.000000,5,business,Landlord LLC,City Bank,021000021,9075,|021000021|  597442310  1363,false,,false,
1769.58,2024-01-09T20:00:00.000000,2024-06-10T03:00:00.000000,2,personal,Acme Supplies,City Bank,021000021,5072,|021000021|  252270047  5215,false,,false,
1852.61,2024-02-15T08:00:00.000000,2024-06-18T00:00:00.000000,4,cashier,Acme Supplies,Trust Bank,021000021,3705,|021000021|  748227364  7631,false,,false,
658.07,2024-02-12T19:00:00.000000,2024-06-15T10:00:00.000000,3,personal,Landlord LLC,City Bank,021000021,1007,|021000021|  105924542  4970,false,,false,
4252.24,2024-04-23T02:00:00.000000,2024-07-22T03:00:00.000000,2,cashier,Landlord LLC,City Bank,021000021,1721,|021000021|  561739444  7901,false,,false,
4965.86,2024-05-15T03:00:00.000000,2024-04-10T22:00:00.000000,5,business,Landlord LLC,Trust Bank,021000021,2009,|021000021|  345419390  4746,false,,false,
2356.65,2024-08-20T00:00:00.000000,2024-01-07T23:00:00.000000,1,business,Acme Supplies,City Bank,021000021,9709,|021000021|  829711212  3974,false,,false,
2444.98,2024-06-22T17:00:00.000000,2024-05-28T08:00:00.000000,1,business,Landlord LLC,First National Bank,021000021,1414,|021000021|  788847066  3036,false,,false,
475.13,2024-08-01T08:00:00.000000,2024-07-09T02:00:00.000000,5,business,John Smith,First National Bank,021000021,7652,|021000021|  587374311  8087,false,,false,
555.83,2024-11-14T04:00:00.000000,2024-07-20T12:00:00.000000,3,cashier,John Smith,First National Bank,021000021,4042,|021000021|  436096520  5257,false,,false,
1746.05,2024-01-23T16:00:00.000000,2024-10-28T02:00:00.000000,4,personal,John Smith,Trust Bank,021000021,4894,|021000021|  774607231  2604,false,,false,
1360.55,2024-12-29T07:00:00.000000,2024-07-03T13:00:00.000000,3,business,Landlord LLC,City Bank,021000021,3609,|021000021|  550521025  4972,false,,false,
